,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: Rescuing China's animals during the outbreak,"Activists are struggling to keep up as pet owners fall ill, are quarantined or abandon their animals.",https://www.bbc.co.uk/news/world-asia-china-51614957,https://ichef.bbci.co.uk/news/1024/branded_news/3670/production/_111063931_i.jpg,2020-02-29T02:40:14Z,"Image copyrightSuppliedImage caption
 Animal rescue groups say they are seeing an increasing number of animals abandoned across the country
Volunteers in China say they're struggling to keep up with the number of animals being abandoned as the country battl… [+4642 chars]"
1,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: Hunt for source of UK-infected case,Officials are trying to find out how a man in Surrey caught Covid-19 and tracing those who he met.,https://www.bbc.co.uk/news/uk-51684624,https://ichef.bbci.co.uk/news/1024/branded_news/874E/production/_111083643_hi060309657.jpg,2020-02-29T02:27:24Z,"Image copyrightPA MediaImage caption
 The World Health Organization has raised its global risk assessment to its highest level
Health officials are trying to discover how a man in England caught coronavirus, after he became the first person to infected with… [+5507 chars]"
2,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Kizito Mihigo: The Rwandan gospel singer who died in a police cell,"Rwandan genocide survivor Kizito Mihigo, hailed as a national talent, was later accused of treason.",https://www.bbc.co.uk/news/world-africa-51667168,https://ichef.bbci.co.uk/news/1024/branded_news/0D76/production/_111064430_kizedit.jpg,2020-02-29T02:27:13Z,"Image copyrightKizito Mihigo/Facebook
Rwandan gospel singer Kizito Mihigo was at one time hailed as a great national talent but then he was accused of being a traitor. He was recently found dead, at the age of 38, in a police cell. The BBC's Great Lakes Serv… [+8628 chars]"
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Delhi riots: Muslim women recall horror of Molotov cocktails and arson,Religious violence in the Indian capital has left thousands staring at a bleak future.,https://www.bbc.co.uk/news/world-asia-india-51670096,https://ichef.bbci.co.uk/news/1024/branded_news/D12B/production/_111074535_0c03f6ae-5e38-4e86-872d-ef2ebb1761e7.jpg,2020-02-29T02:24:31Z,"Image caption
 Women and children take refuge in the Indira Vihar shelter
The deadly religious riots that have swept parts of the Indian capital are proving that women and children are often the most vulnerable victims in any conflict, writes the BBC's Geet… [+5606 chars]"
4,"{'id': 'bbc-news', 'name': 'BBC News'}",,Women's T20 World Cup: Fargana Hoque produces 'phenomenal' catch,Fargana Hoque produces a 'phenomenal piece of fielding' to dispatch New Zealand's Anna Peterson during Bangladesh's Women's T20 World Cup game against New Zealand.,https://www.bbc.co.uk/sport/av/cricket/51685798,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1E9E/production/_111083870_v2mmt20banphenominalcatchv2.10_00_21_13.still002.jpg,2020-02-29T02:12:14Z,
5,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Most graduates still gain financially from degrees,"But one in five would have been better off not going to university, says research.",https://www.bbc.co.uk/news/education-51676530,https://ichef.bbci.co.uk/news/1024/branded_news/E8CD/production/_111079595_students12.jpg,2020-02-29T01:15:11Z,"Image copyrightGetty ImagesImage caption
 University leaders say the value of higher education should be measured in more than just earning power
Higher pay still makes it financially beneficial to go to university for most students in England, says researc… [+5015 chars]"
6,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Fish oil supplements offer 'little or no benefit' against cancer,Research suggests omega-3 supplements may not be as beneficial as previously suggested.,https://www.bbc.co.uk/news/health-51674313,https://ichef.bbci.co.uk/news/1024/branded_news/0F6B/production/_111074930_gettyimages-1148172852.jpg,2020-02-29T01:12:54Z,"Image copyrightGetty ImagesImage caption
 The global market for omega-3 supplements has been estimated to be worth around $33bn (£25.6bn)
Taking omega-3 supplements offers ""little to no"" benefit against cancer, say experts. 
Consumption of fish oil supplem… [+2846 chars]"
7,"{'id': 'bbc-news', 'name': 'BBC News'}",,2020/02/29 01:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172wy0v6f9npst,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2020-02-29T01:06:00Z,The latest five minute news bulletin from BBC World Service.
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Margaret Thatcher: Former PM named outfits after Gorbachev and Reagan,"The ex-PM christened her wardrobe, papers show, with references to Mikhail Gorbachev and Ronald Reagan.",https://www.bbc.co.uk/news/uk-politics-51676773,https://ichef.bbci.co.uk/news/1024/branded_news/82A7/production/_111074433_pinkgorbachevgetty.jpg,2020-02-29T01:04:46Z,"Image copyrightGetty ImagesImage caption
 Margaret Thatcher wore a pink outfit while meeting Mikhail Gorbachev in London in April 1989
Margaret Thatcher named some of her outfits after other world leaders, including Mikhail Gorbachev and Ronald Reagan, newl… [+4272 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Could deepfakes be used to train office workers?,"A consultancy that makes business training videos is advertising for a ""deepfake expert"".",https://www.bbc.co.uk/news/technology-51064933,https://ichef.bbci.co.uk/news/1024/branded_news/0F04/production/_111044830_deepfakead.gif,2020-02-29T00:59:47Z,"Image copyrightLinkedInImage caption
 The response to Preswerx's advert, placed on business social network LinkedIn last month, has so far been disappointing
A consultancy that makes business training videos is advertising for a ""deepfake expert"" to create … [+5641 chars]"
